Log Values
Reading , Values
07/10/2018 15:39:01,24.494°C
07/10/2018 15:59:01,24.494°C
07/10/2018 16:19:01,24.369°C
07/10/2018 16:39:01,24.244°C
07/10/2018 16:59:01,24.119°C
07/10/2018 17:19:01,23.806°C
07/10/2018 17:39:01,23.431°C
07/10/2018 17:59:01,22.993°C
07/10/2018 18:19:01,22.681°C
07/10/2018 18:39:01,22.368°C
07/10/2018 18:59:01,22.055°C
07/10/2018 19:19:01,21.805°C
07/10/2018 19:39:01,21.43°C
07/10/2018 19:59:01,21.305°C
07/10/2018 20:19:01,21.18°C
07/10/2018 20:39:01,21.18°C
07/10/2018 20:59:01,21.242°C
07/10/2018 21:19:01,21.305°C
07/10/2018 21:39:01,21.492°C
07/10/2018 21:59:01,21.68°C
07/10/2018 22:19:01,21.868°C
07/10/2018 22:39:01,21.805°C
07/10/2018 22:59:01,21.617°C
07/10/2018 23:19:01,21.555°C
07/10/2018 23:39:01,21.492°C
07/10/2018 23:59:01,21.367°C
08/10/2018 00:19:01,21.305°C
08/10/2018 00:39:01,21.18°C
08/10/2018 00:59:01,21.054°C
08/10/2018 01:19:01,20.804°C
08/10/2018 01:39:01,20.616°C
08/10/2018 01:59:01,20.366°C
08/10/2018 02:19:01,20.304°C
08/10/2018 02:39:01,20.554°C
08/10/2018 02:59:01,20.804°C
08/10/2018 03:19:01,21.054°C
08/10/2018 03:39:01,20.992°C
08/10/2018 03:59:01,20.742°C
08/10/2018 04:19:01,20.679°C
08/10/2018 04:39:01,20.804°C
08/10/2018 04:59:01,20.929°C
08/10/2018 05:19:01,20.992°C
08/10/2018 05:39:01,20.804°C
08/10/2018 05:59:01,20.616°C
08/10/2018 06:19:01,20.616°C
08/10/2018 06:39:01,20.742°C
08/10/2018 06:59:01,20.992°C
08/10/2018 07:19:01,21.43°C
08/10/2018 07:39:01,21.868°C
08/10/2018 07:59:01,22.431°C
08/10/2018 08:19:01,23.056°C
08/10/2018 08:39:01,23.494°C
08/10/2018 08:59:01,23.931°C
08/10/2018 09:19:01,24.432°C
08/10/2018 09:39:01,24.807°C
08/10/2018 09:59:01,25.182°C
08/10/2018 10:19:01,25.432°C
08/10/2018 10:39:01,25.807°C
08/10/2018 10:59:01,26.557°C
08/10/2018 11:19:01,26.682°C
08/10/2018 11:39:01,26.682°C
08/10/2018 11:59:01,26.682°C
08/10/2018 12:19:01,26.682°C
08/10/2018 12:39:01,26.807°C
08/10/2018 12:59:01,26.619°C
08/10/2018 13:19:01,26.744°C
08/10/2018 13:39:01,26.619°C
08/10/2018 13:59:01,26.619°C
08/10/2018 14:19:01,26.119°C
08/10/2018 14:39:01,25.619°C
08/10/2018 14:59:01,25.369°C
08/10/2018 15:19:01,25.307°C
